id,question,valid,row_count,needs_manual_review,review_reason,expected_family,expected_answer_shape,error,human_gold_valid,human_notes,semantic_audit_status,semantic_audit_notes
FINALKGQA241,How many companies in the semiconductor sector have not reported a shortage of semiconductors?,True,1,False,,shortage,count,,,,,
FINALKGQA242,"For each component, what is the combined Tier1 inventory participant total?",True,3,False,,inventory,sum,,,,,
FINALKGQA243,List the conversion factors associated with every technology category and vehicle type pairing?,True,15,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA244,What is the number of DemandForRegion records associated with the Semiconductor survey?,True,1,False,,regional_demand,count,,,,,
FINALKGQA245,Calculate the sum of the current demand difference between BL1 and BL2 for Tier1?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA246,How many FutureDemandAnalysis items have connections to the Tier1 survey?,True,1,False,,future_demand,count,,correct,Manual semantic spot check: query returns a count of FutureDemandAnalysis items linked to Tier1 survey. A zero count is a valid result for this count question.,correct,Manual semantic spot check: query returns a count of FutureDemandAnalysis items linked to Tier1 survey. A zero count is a valid result for this count question.
FINALKGQA247,Which vehicle type leads in total annual sales?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA248,"For each combination of vehicle type, SAE level, and year, what is the average value of autonomous-driving development linked to OEMs?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA249,Which semiconductor technology categories have the highest counts of order cancellation responses?,True,15,False,,order_cancellation,sum,,correct,Correct after repair: returns all semiconductor technology categories tied for the highest order-cancellation response count.,correct,Correct after repair: returns all semiconductor technology categories tied for the highest order-cancellation response count.
FINALKGQA250,For which survey type do the largest number of companies report experiencing a shortage?,True,1,False,,shortage,ranking_top,,,,,
FINALKGQA251,Which components have the most Tier1 inventory trend records?,True,9,False,,inventory,count,,,,,
FINALKGQA252,Which Tier1 companies have how many active component share categories?,True,3,False,,catalog_lookup,count,,probably_correct,"Probably correct: returns component-share category counts per Tier1-named company, but the query relies on the ComponentShare path rather than an explicit Tier1 survey filter.",probably_correct,"Probably correct: returns component-share category counts per Tier1-named company, but the query relies on the ComponentShare path rather than an explicit Tier1 survey filter."
FINALKGQA253,Identify the regions where the overall current demand for semiconductors is greatest?,True,5,False,,regional_demand,sum,,,,,
FINALKGQA254,What are the summed percentage-change figures for BL1 and BL2 in Tier1 Automotive current demand?,True,2,False,,current_demand_baselines,sum,,,,,
FINALKGQA255,How many entries are recorded under FutureDemandAnalysis?,True,1,False,,future_demand,count,,,,correct,Counts all FutureDemandAnalysis entries; matches the question.
FINALKGQA256,"For each month, what is the combined count of vehicles sold using only actual sales records?",True,12,False,,vehicle_sales,sum,,,,,
FINALKGQA257,"Which average autonomous-driving development figures are reported for Tier1 suppliers, segmented by vehicle type, SAE level, and year?",True,45,False,,autonomous_driving,average,,,,correct,"Returns Tier1 autonomous-driving averages grouped by vehicle type, SAE level, and year; matches the question."
FINALKGQA258,How many OrderCancellation entries correspond to the Semiconductor survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA259,How does the number of Tier1 companies facing shortages compare to those without shortages?,True,2,False,,shortage,count,,,,,
FINALKGQA260,Provide the Tier1 inventory trend records for all components?,True,18,False,,inventory,raw_or_lookup,,,,,
FINALKGQA261,Which technology categories are included in the catalog?,True,5,False,,catalog_lookup,raw_or_lookup,,,,correct,Lists technology category names in the catalog; matches the question.
FINALKGQA262,"What is the total demand reported for each region, separated by survey group (Tier1, OEM, and Semiconductor)?",True,15,False,,regional_demand,sum,,,,,
FINALKGQA263,Show me the different baseline types included in the data?,True,5,False,,current_demand_baselines,raw_or_lookup,,,,,
FINALKGQA264,Could you provide the summed future demand figures for Tier1 by region and quarter?,True,35,False,,future_demand,sum,,,,,
FINALKGQA265,Please provide the total count of actual vehicle-sales units that have been registered?,True,1,False,,vehicle_sales,sum,,,,,
FINALKGQA266,"Which OEMs report the mean autonomous driving percentage broken down by vehicle, SAE level, and year?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA267,How many OrderCancellation items are present in the data?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA268,How many Tier1 companies have reported facing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA269,"For Tier1 inventory, which component involves the most participants?",True,1,False,,inventory,ranking_top,,,,,
FINALKGQA270,How many distinct Quarter entities are there?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA271,Identify the region with the greatest overall demand according to the Tier1 survey results?,True,1,False,,regional_demand,ranking_top,,correct,"Manual semantic spot check: query returns the Tier1 region with the greatest total demand, matching the requested top-region question.",correct,"Manual semantic spot check: query returns the Tier1 region with the greatest total demand, matching the requested top-region question."
FINALKGQA272,How many Tier1 Automotive current-demand entries exist for baseline BL1 compared to BL2?,True,2,False,,current_demand_baselines,count,,,,correct,Counts Tier1 Automotive current-demand entries for BL1 and BL2; matches the question.
FINALKGQA273,Count the FutureDemandAnalysis entries that are related to Semiconductor surveys?,True,1,False,,future_demand,count,,,,,
FINALKGQA274,What is the total count of vehicle sales observations that are marked as actual and those that are marked as forecast?,True,2,False,,vehicle_sales,count,,,,,
FINALKGQA275,"Among Tier1 suppliers, what is the average level of autonomous driving development segmented by vehicle type and SAE level?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA276,"For order cancellations, which response type sees participation from the largest group of participants?",True,1,False,,order_cancellation,ranking_top,,,,correct,Returns the order-cancellation response type with the largest summed participant count; matches the question.
FINALKGQA277,"What is the number of companies identified with shortages according to the Tier1, OEM, and Semiconductor survey data?",True,6,False,,shortage,count,,,,,
FINALKGQA278,Which component and trend pairs account for the highest overall Tier1 inventory responses?,True,9,False,,inventory,sum,,correct,Correct after repair: returns component/trend pairs tied for the highest Tier1 inventory response count.,correct,Correct after repair: returns component/trend pairs tied for the highest Tier1 inventory response count.
FINALKGQA279,What are the quarter labels available in the dataset?,True,8,False,,catalog_lookup,raw_or_lookup,,,,correct,Lists available quarter labels; matches the question.
FINALKGQA280,How much demand is recorded in each region according to the Tier1 survey?,True,5,False,,regional_demand,sum,,,,,
FINALKGQA281,"For Tier1 Automotive baselines, which shows the highest average percentage change in current demand?",True,1,False,,current_demand_baselines,ranking_top,,,,correct,Returns the Tier1 Automotive baseline with highest average percentage change; matches the question.
FINALKGQA282,Provide the summed future demand for semiconductors segmented by technology category and quarter?,True,40,False,,future_demand,sum,,,,,
FINALKGQA283,Provide the sum of vehicle sales units for each month based on actual observations?,True,12,False,,vehicle_sales,sum,,,,correct,Returns monthly sums of actual vehicle-sales units; matches the question.
FINALKGQA284,What is the count of SAE levels that appear in the data?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA285,What technology category and response type are recorded for each order-cancellation participant observation?,True,15,False,,order_cancellation,raw_or_lookup,,correct,Correct: returns technology category and response type for each order-cancellation participant observation.,correct,Correct: returns technology category and response type for each order-cancellation participant observation.
FINALKGQA286,How does the number of semiconductor companies facing shortages compare to those not affected?,True,2,False,,shortage,count,,,,,
FINALKGQA287,"Among all semiconductor technology categories and inventory trends, which pairing is seen the most?",True,1,False,,inventory,ranking_top,,,,correct,Returns the most frequent semiconductor technology-category and inventory-trend pairing with ORDER BY count DESC LIMIT 1; matches the top-pairing question.
FINALKGQA288,How many companies have a connection to the OEM survey?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA289,"Among all survey types, which one accumulates the greatest overall demand?",True,1,False,,regional_demand,ranking_top,,,,,
FINALKGQA290,What is the sum of the current demand percentage changes for BL1 and BL2 in Tier1?,True,2,False,,current_demand_baselines,sum,,,,correct,Returns summed BL1 and BL2 current-demand percentage changes for Tier1; matches the question.
FINALKGQA291,Which regions and quarters have the highest combined future demand percentages based on OEM survey results?,True,35,False,,future_demand,sum,,,,,
FINALKGQA292,What is the count of VehicleSalesObservation records in the dataset?,True,1,False,,vehicle_sales,count,,,,,
FINALKGQA293,What is the count of AutonomousDrivingDevelopment entries in the system?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA294,What is the count of OrderCancellation entries that are related to OEM survey information?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA295,"Across different survey types, how many companies have reported experiencing a shortage?",True,6,False,,shortage,count,,,,,
FINALKGQA296,Which technology categories have the greatest number of semiconductor inventory trends?,True,9,False,,inventory,count,,,,,
FINALKGQA297,Provide the technology categories together with their current demand and the associated percent changes?,True,5,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA298,"How does the average demand percentage for OEMs, based on survey data, change each quarter?",True,7,False,,regional_demand,average,,,,,
FINALKGQA299,What is the summed BL1 minus BL2 percentage change in Tier1 current demand?,True,1,False,,current_demand_baselines,sum,,,,correct,"Returns BL1 sum, BL2 sum, and BL1-BL2 delta for Tier1 current demand; matches the question."
FINALKGQA300,Which regions and quarters account for the combined future demand percentage of Semiconductor products?,True,35,False,,future_demand,sum,,,,,
FINALKGQA301,How do the monthly totals of actual vehicle sales stack up against the forecasted amounts?,True,48,False,,vehicle_sales,sum,,,,correct,Returns monthly actual and forecast vehicle-sales totals in separate columns; matches the comparison question.
FINALKGQA302,Which combination of vehicle type and SAE level records the maximum percentage for autonomous driving?,True,1,False,,autonomous_driving,ranking_top,,,,,
FINALKGQA303,"For each semiconductor technology category, how many order cancellations have occurred in total?",True,5,False,,order_cancellation,sum,,,,,
FINALKGQA304,Count the Tier1 companies that have not mentioned a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA305,"How many Tier1 inventory trend records are recorded for each of the EV, non-EV, and mixed component groups?",True,3,False,,inventory,sum,,correct,"Correct: returns Tier1 inventory trend counts for EV, non-EV, and mixed component groups.",correct,"Correct: returns Tier1 inventory trend counts for EV, non-EV, and mixed component groups."
FINALKGQA306,Could you provide the complete list of region names present in the data?,True,5,False,,catalog_lookup,raw_or_lookup,,,,correct,Lists region names in the data; matches the question.
FINALKGQA307,How do the total and average demand levels reported in the OEM survey compare?,True,1,False,,regional_demand,average,,,,correct,Returns total and average OEM demand; matches the question.
FINALKGQA308,What is the average current-demand change at BL1 and BL2 for Automotive Tier1 respondents?,True,2,False,,current_demand_baselines,average,,,,,
FINALKGQA309,Which technology category experiences the highest mean percentage change in anticipated future demand?,True,1,False,,future_demand,ranking_top,,correct,"Manual semantic spot check: query returns the technology category with the highest average future-demand percentage change, matching the requested top-category question.",correct,"Manual semantic spot check: query returns the technology category with the highest average future-demand percentage change, matching the requested top-category question."
FINALKGQA310,In what month did actual vehicle sales reach their maximum value?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA311,Which vehicle types have the highest average autonomous-driving percentages when considering all years?,True,9,False,,autonomous_driving,average,,,,,
FINALKGQA312,Provide the sum of semiconductor order cancellation responses broken down by technology category and response type?,True,15,False,,order_cancellation,sum,,,,,
FINALKGQA313,How does the number of OEM companies experiencing shortages compare to those without shortages?,True,2,False,,shortage,count,,,,,
FINALKGQA314,"How many inventory entries are marked as increase, stable, or decrease for companies at the Tier1 level?",True,3,False,,inventory,count,,,,,
FINALKGQA315,Could you tell me the count of regions identified in the survey records?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA316,Identify the region with the greatest overall demand according to the Semiconductor survey results?,True,1,False,,regional_demand,ranking_top,,,,,
FINALKGQA317,How does the sum of percentage changes in current demand for BL1 and BL2 look across Tier1 automotive survey results?,True,1,False,,current_demand_baselines,sum,,,,correct,Returns BL1 and BL2 summed percentage changes for Tier1 automotive current demand; matches the question.
FINALKGQA318,"For each vehicle type and quarter, what is the mean percentage change in future demand?",True,24,False,,future_demand,average,,,,correct,Returns mean future-demand percentage change for each vehicle type and quarter; matches the requested grouping.
FINALKGQA319,"For each month, what is the combined number of vehicle units in the forecast data?",True,36,False,,vehicle_sales,sum,,,,,
FINALKGQA320,Which vehicle type reaches the highest percentage for Level 5 autonomous driving?,True,1,False,,autonomous_driving,ranking_top,,,,correct,Returns top vehicle type for SAE Level 5 autonomous-driving percentage; matches the question.
FINALKGQA321,What is the number of OrderCancellation entries that correspond to the Tier1 survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA322,"Which OEM companies have stated they are experiencing a semiconductor shortage, and what is their total count?",True,1,False,,shortage,count,,,,,
FINALKGQA323,Which components have the highest overall Tier1 inventory participant totals?,True,3,False,,inventory,sum,,,,,
FINALKGQA324,How many companies are referenced in relation to the Tier1 survey?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA325,How much Tier1 demand does the Americas region have on average?,True,1,False,,regional_demand,average,,,,,
FINALKGQA326,Provide the percentage changes for baselines BL1 and BL2 in the Tier1 automotive category?,True,2,False,,current_demand_baselines,raw_or_lookup,,correct,"Manual semantic spot check: query returns BL1 and BL2 percentage-change values for Tier1 current demand, matching the requested baseline values.",correct,"Manual semantic spot check: query returns BL1 and BL2 percentage-change values for Tier1 current demand, matching the requested baseline values."
FINALKGQA327,"Across quarters, what are the aggregate future demand figures for Option1, Option2, and Option3 within Automotive?",True,8,False,,future_demand,sum,,,,,
FINALKGQA328,Provide the total number of vehicles sold each year for every vehicle type?,True,6,False,,vehicle_sales,sum,,,,,
FINALKGQA329,Which average autonomous driving development values are seen across the different vehicle types and SAE levels?,True,15,False,,autonomous_driving,average,,,,correct,Returns average autonomous-driving values by vehicle type and SAE level; matches the question.
FINALKGQA330,List the total order cancellation responses associated with each semiconductor technology category?,True,15,False,,order_cancellation,sum,,,,,
FINALKGQA331,How does the number of semiconductor companies facing shortages compare to those without shortages?,True,2,False,,shortage,count,,,,,
FINALKGQA332,"Across components, what is the count of Tier1 inventory trend records per component?",True,9,False,,inventory,count,,,,,
FINALKGQA333,"Identify the survey types that exist within the Tier1, OEM, and Semiconductor segments?",True,3,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA334,"How does the combined demand from Tier1, OEM, and Semiconductor participants differ between regions?",True,15,False,,regional_demand,sum,,,,,
FINALKGQA335,"For Tier1, what is the aggregate change in current demand from BL2 to BL1?",True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA336,How many FutureDemandAnalysis entries correspond to OEM survey data?,True,1,False,,future_demand,count,,,,correct,Counts FutureDemandAnalysis entries for OEM survey; matches the question.
FINALKGQA337,What is the overall sum of forecast vehicle sales units captured in the data?,True,1,False,,vehicle_sales,sum,,,,,
FINALKGQA338,What is the yearly average percentage recorded for autonomous driving development?,True,3,False,,autonomous_driving,average,,,,,
FINALKGQA339,How many OrderCancellation cases are related to the Semiconductor survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA340,How many OEM companies indicated a shortage versus those that reported no shortage?,True,2,False,,shortage,count,,,,,
FINALKGQA341,Display the Tier1 inventory trend entries organized by component?,True,18,False,,inventory,raw_or_lookup,,correct,Correct: returns Tier1 inventory trend entries organized by component.,correct,Correct: returns Tier1 inventory trend entries organized by component.
FINALKGQA342,Which technology category currently leads in demand?,True,1,False,,catalog_lookup,ranking_top,,,,,
FINALKGQA343,What is the number of DemandForRegion records associated with OEM surveys?,True,1,False,,regional_demand,count,,,,,
FINALKGQA344,Provide the aggregate percentage-change values for BL1 and BL2 within Tier1 Automotive current demand?,True,2,False,,current_demand_baselines,sum,,,,correct,Returns summed BL1 and BL2 percentage-change values for Tier1 Automotive current demand; matches the requested aggregate baseline values.
FINALKGQA345,Which future-demand percentage figures are available for each technology category across all quarters?,True,120,False,,future_demand,raw_or_lookup,,correct,Correct: returns available future-demand percentage records by technology category and quarter.,correct,Correct: returns available future-demand percentage records by technology category and quarter.
FINALKGQA346,What is the month with the largest forecast vehicle sales total?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA347,"Which average autonomous-driving development values are observed for OEMs when grouped by vehicle type, SAE level, and year?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA348,What is the total count of OrderCancellation entries in the database?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA349,How does the number of Tier1 companies experiencing a shortage compare to those without a shortage?,True,2,False,,shortage,count,,,,,
FINALKGQA350,Which component records the maximum participant total in Tier1 inventory?,True,1,False,,inventory,ranking_top,,,,,
FINALKGQA351,Could you tell me the count of companies available in our records?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA352,Identify the region with the smallest overall demand according to the OEM survey results?,True,1,False,,regional_demand,ranking_top,,correct,"Manual semantic spot check: query returns the OEM region with the smallest total demand, matching the requested minimum-region question.",correct,"Manual semantic spot check: query returns the OEM region with the smallest total demand, matching the requested minimum-region question."
FINALKGQA353,What are the baseline types recorded in this dataset?,True,5,False,,current_demand_baselines,raw_or_lookup,,,,,
FINALKGQA354,"Across all technology buckets and quarters, what is the average future-demand change?",True,40,False,,future_demand,average,,,,,
FINALKGQA355,Name the vehicle type that achieves the maximum total sales within a year?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA356,"Across vehicle types, SAE levels, and years, what is the average value of autonomous-driving development among Tier1 suppliers?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA357,Which response type in order cancellations is associated with the maximum participant count?,True,1,False,,order_cancellation,ranking_top,,correct,Correct: sums order-cancellation participants by response type and returns the maximum response type.,correct,Correct: sums order-cancellation participants by response type and returns the maximum response type.
FINALKGQA358,Count the semiconductor companies that have reported experiencing a shortage of semiconductors?,True,1,False,,shortage,count,,,,,
FINALKGQA359,How much Tier1 inventory response is recorded for every component and trend pairing?,True,9,False,,inventory,sum,,,,,
FINALKGQA360,Could you tell me the count of TechnologyCategory entities available?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA361,How much demand is reported in each region according to the Semiconductor survey?,True,5,False,,regional_demand,sum,,,,,
FINALKGQA362,"Please list the number of Tier1 Automotive current-demand entries that correspond to each baseline, BL1 and BL2?",True,2,False,,current_demand_baselines,count,,,,,
FINALKGQA363,"For each technology category and quarter, what is the combined percentage change in anticipated demand?",True,40,False,,future_demand,sum,,,,correct,Returns combined future-demand percentage change by technology category and quarter; matches the question.
FINALKGQA364,"Show the monthly sum of vehicle units sold, considering only actual sales data?",True,12,False,,vehicle_sales,sum,,,,,
FINALKGQA365,"Across vehicles, SAE levels, and years, what is the average autonomous driving percentage reported for each OEM?",True,45,False,,autonomous_driving,average,,,,correct,"Returns OEM autonomous-driving averages grouped by vehicle type, SAE level, and year; matches the requested grouping."
FINALKGQA366,Provide the technology category and response type for all order-cancellation participant observations?,True,15,False,,order_cancellation,raw_or_lookup,,correct,"Correct: query returns all order-cancellation observations with technology category, response type, and participant count.",correct,"Correct: query returns all order-cancellation observations with technology category, response type, and participant count."
FINALKGQA367,Count the OEM companies that have not mentioned a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA368,Which pairing of semiconductor technology category and inventory trend is recorded most frequently?,True,1,False,,inventory,ranking_top,,,,,
FINALKGQA369,"What are the current-demand percentage changes by OEM for BEV, BEHV, and ICE segments?",True,3,False,,catalog_lookup,raw_or_lookup,,probably_correct,Probably correct: query interprets OEM as the OEM survey aggregate and returns current-demand percentage changes for BEV/BEHV/ICE; not per individual OEM company.,probably_correct,Probably correct: query interprets OEM as the OEM survey aggregate and returns current-demand percentage changes for BEV/BEHV/ICE; not per individual OEM company.
FINALKGQA370,What is the average OEM demand level reported for the Americas region?,True,1,False,,regional_demand,average,,,,,
FINALKGQA371,Which Tier1 Automotive baseline records the maximum average percentage change in current demand?,True,1,False,,current_demand_baselines,ranking_top,,,,,
FINALKGQA372,Which vehicle type experiences the highest average shift in expected future demand?,True,1,False,,future_demand,ranking_top,,,,,
FINALKGQA373,How many actual vehicle-sales units are there in the complete records?,True,1,False,,vehicle_sales,sum,,,,,
FINALKGQA374,"Within Tier1 suppliers, how is the average autonomous driving development distributed by vehicle type and SAE level?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA375,How many OrderCancellation entries have a relationship with OEM survey records?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA376,Identify the companies that have mentioned a semiconductor shortage in their survey submissions?,True,6,False,,shortage,raw_or_lookup,,,,,
FINALKGQA377,"Across technology categories, what is the count of semiconductor inventory trends recorded?",True,9,False,,inventory,count,,correct,"Manual semantic spot check: query returns technology category, inventory trend, and count for semiconductor inventory, matching the requested grouped count.",correct,"Manual semantic spot check: query returns technology category, inventory trend, and count for semiconductor inventory, matching the requested grouped count."
FINALKGQA378,How many companies are referenced in relation to the Semiconductor survey?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA379,How much OEM demand is recorded for each region in each quarter?,True,35,False,,regional_demand,sum,,,,,
FINALKGQA380,"For Tier1, what is the aggregate percentage change in current demand across BL1 and BL2?",True,2,False,,current_demand_baselines,sum,,,,,
FINALKGQA381,What is the total count of FutureDemandAnalysis entries that are related to the Tier1 survey?,True,1,False,,future_demand,count,,,,,
FINALKGQA382,How many vehicle sales observations fall under the actual category versus the forecast category?,True,2,False,,vehicle_sales,count,,,,correct,Counts vehicle-sales observations by actual versus forecast category; matches the requested actual/forecast observation breakdown.
FINALKGQA383,How many unique SAE levels are listed?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA384,In which semiconductor technology categories has the sum of order cancellations been the greatest?,True,5,False,,order_cancellation,sum,,,,,
FINALKGQA385,Count the semiconductor companies that have not disclosed any semiconductor shortage?,True,1,False,,shortage,count,,,,correct,Counts semiconductor companies not disclosing shortage; matches the question.
FINALKGQA386,"Please break down the aggregate inventory by EV, non-EV, and mixed component classifications?",True,3,False,,inventory,sum,,,,,
FINALKGQA387,What are the conversion factors for each technology category and vehicle type?,True,15,False,,catalog_lookup,raw_or_lookup,,correct,Correct: returns conversion factors by technology category and vehicle type; raw lookup does not require GROUP BY.,correct,Correct: returns conversion factors by technology category and vehicle type; raw lookup does not require GROUP BY.
FINALKGQA388,What is the combined OEM demand reported for the Americas region?,True,1,False,,regional_demand,sum,,,,,
FINALKGQA389,How large is the aggregate percentage change in Tier1 current demand when comparing BL1 to BL2?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA390,Could you tell me the count of FutureDemandAnalysis entries present in the system?,True,1,False,,future_demand,count,,,,,
FINALKGQA391,List the monthly totals of vehicle sales units from the actual data?,True,12,False,,vehicle_sales,sum,,correct,"Manual semantic spot check: query returns monthly actual vehicle-sales totals, matching the requested actual-sales monthly breakdown.",correct,"Manual semantic spot check: query returns monthly actual vehicle-sales totals, matching the requested actual-sales monthly breakdown."
FINALKGQA392,How many AutonomousDrivingDevelopment items are present?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA393,Which technology categories and response types have the highest counts of semiconductor order cancellation responses?,True,15,False,,order_cancellation,sum,,correct,Correct after repair: returns technology-category/response-type combinations tied for the highest order-cancellation response count.,correct,Correct after repair: returns technology-category/response-type combinations tied for the highest order-cancellation response count.
FINALKGQA394,Which survey type sees the greatest number of companies reporting a shortage?,True,1,False,,shortage,ranking_top,,,,,
FINALKGQA395,"What count of inventory entries are labeled as increase, stable, or decrease within Tier1 companies?",True,3,False,,inventory,count,,,,,
FINALKGQA396,List the count of active component share categories associated with every Tier1 company?,True,3,False,,catalog_lookup,count,,,,correct,Counts active component-share categories per Tier1 company; matches the question.
FINALKGQA397,What is the average quarterly trend in demand percentage observed in the Semiconductor survey?,True,7,False,,regional_demand,average,,correct,Correct: computes average Semiconductor demand percentage change by quarter; trend flag is a false positive from wording.,correct,Correct: computes average Semiconductor demand percentage change by quarter; trend flag is a false positive from wording.
FINALKGQA398,"Across BL1 and BL2, what is the average current-demand change reported by Tier1 participants in the Automotive category?",True,2,False,,current_demand_baselines,average,,,,,
FINALKGQA399,"For Tier1, what are the aggregated future demand values broken down by region and quarter?",True,35,False,,future_demand,sum,,,,,
FINALKGQA400,How many VehicleSalesObservation data points are present?,True,1,False,,vehicle_sales,count,,,,,
FINALKGQA401,"Among all vehicle types and SAE levels, which pairing leads in autonomous driving percentage?",True,1,False,,autonomous_driving,ranking_top,,,,correct,Returns the vehicle type and SAE-level pairing with the highest autonomous-driving percentage; matches the question.
FINALKGQA402,How many OrderCancellation records are tied to the Tier1 survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA403,"For Tier1 companies, how many indicated a shortage versus those who did not?",True,2,False,,shortage,count,,,,,
FINALKGQA404,Provide the aggregate Tier1 inventory participant totals grouped by component?,True,3,False,,inventory,sum,,,,correct,Returns aggregate Tier1 inventory participant totals by component; matches the question.
FINALKGQA405,Could you provide the full list of technology category names?,True,5,False,,catalog_lookup,raw_or_lookup,,,,correct,Lists technology category names; matches the question.
FINALKGQA406,How many DemandForRegion items have connections to Tier1 survey results?,True,1,False,,regional_demand,count,,,,,
FINALKGQA407,What is the aggregate percentage change in current demand for BL1 and BL2 according to Tier1 automotive survey data?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA408,What is the number of FutureDemandAnalysis entries that reference Semiconductor surveys?,True,1,False,,future_demand,count,,,,,
FINALKGQA409,"Provide the total number of vehicle sales per month, separating actual results from forecasts?",True,48,False,,vehicle_sales,sum,,,,,
FINALKGQA410,Show the average autonomous-driving percentage achieved by each vehicle type over multiple years?,True,9,False,,autonomous_driving,average,,,,,
FINALKGQA411,How does the volume of order cancellation responses compare across different semiconductor technology categories?,True,15,False,,order_cancellation,sum,,,,,
FINALKGQA412,Count the Tier1 companies that have stated they are experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA413,How does the count of Tier1 inventory trend records vary among different components?,True,9,False,,inventory,count,,,,,
FINALKGQA414,Count the number of Quarter entities available?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA415,"Across every region, what is the mean demand reported for each survey type?",True,3,False,,regional_demand,average,,,,,
FINALKGQA416,What percentage changes are reported for BL1 and BL2 baselines within Tier1 automotive?,True,2,False,,current_demand_baselines,raw_or_lookup,,,,correct,Returns BL1 and BL2 percentage-change values within Tier1 automotive current demand; matches the question.
FINALKGQA417,How much future semiconductor demand is expected in each technology category for every quarter?,True,40,False,,future_demand,sum,,,,,
FINALKGQA418,For which month were the most actual vehicle sales recorded?,True,1,False,,vehicle_sales,ranking_top,,correct,"Manual semantic spot check: query returns the month with the highest actual vehicle-sales units, matching the requested top-month question.",correct,"Manual semantic spot check: query returns the month with the highest actual vehicle-sales units, matching the requested top-month question."
FINALKGQA419,"For Level 5 autonomous driving, which vehicle type leads in percentage?",True,1,False,,autonomous_driving,ranking_top,,,,,
FINALKGQA420,What is the count of OrderCancellation events that have a relationship with the Semiconductor survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA421,"For each of the Tier1, OEM, and Semiconductor surveys, what is the count of companies marked as having shortages?",True,6,False,,shortage,count,,,,,
FINALKGQA422,"For each component, what are the Tier1 inventory trend observations recorded in the system?",True,18,False,,inventory,raw_or_lookup,,correct,Correct: returns Tier1 inventory trend observations by component.,correct,Correct: returns Tier1 inventory trend observations by component.
FINALKGQA423,Show me the set of quarter labels included in this dataset?,True,8,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA424,List the regions with the greatest total current demand from Tier1?,True,5,False,,regional_demand,sum,,,,,
FINALKGQA425,How much greater or less is the current demand for Tier1 in BL1 compared to BL2 when summed?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA426,"Across all regions and quarters, what is the aggregate future demand percentage reported in OEM surveys?",True,35,False,,future_demand,sum,,,,,
FINALKGQA427,Show the monthly totals of vehicle units based on forecast figures?,True,36,False,,vehicle_sales,sum,,correct,"Manual semantic spot check: query returns monthly forecast vehicle-sales totals, matching the requested forecast monthly breakdown.",correct,"Manual semantic spot check: query returns monthly forecast vehicle-sales totals, matching the requested forecast monthly breakdown."
FINALKGQA428,How do the average autonomous driving development levels differ among vehicle types and SAE levels?,True,15,False,,autonomous_driving,average,,,,,
FINALKGQA429,Could you provide the number of OrderCancellation entries currently stored?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA430,How is the number of semiconductor companies distributed between those experiencing shortages and those not experiencing shortages?,True,2,False,,shortage,count,,,,,
